[14.5748395675513,2.47721014293639;11.0772240421804,16.8616615881364;19.4074580402662,29.5540355504045;15.6534148297500,12.4835036038377;22.8615094647728,17.8033196743834]
[22.7658875260728,19.0736095713541;16.1692047573745,12.8652945447606;14.8456564127644,2.47721014293639;19.4074580402662,30.9322615517468;11.6592336286749,17.3319329122683]
[16.6365234840749,13.2647448491364;22.6198149720419,20.3558882662231;15.0330396180390,2.47721014293639;19.4074580402662,32.2828127373023;12.2259192425570,17.8281626742995]
[22.4224374685069,21.6400963514198;19.4074580402662,33.5895778725709;17.0531083280814,13.6809244963444;15.1338636848185,2.47721014293639;12.7764501143779,18.3499087573675]
[22.1732192453226,22.9159822883021;17.4167937111813,14.1128607084521;19.4074580402662,34.8364557617550;15.1452888953724,2.47721014293639;13.3100074085467,18.8967056610409]
[13.8257848377489,19.4680648101233;19.4074580402662,36.0074831384788;21.8719492730162,24.1731584756772;17.7255155168176,14.5595396160362;15.0647718517462,2.47721014293639]
[21.5187458003178,25.4011583738340;14.3229892696053,20.0634748789233;19.4074580402662,37.0869626668066;14.8900752061153,2.47721014293639;17.9773152865358,15.0199079966946]
[14.8008413251925,20.6824021307979;21.1140592233732,26.5894944113271;18.1703442479325,15.4928750836142;19.4074580402662,38.0595901739159;14.6192765545430,2.47721014293639]
[14.2507764682282,2.47721014293639;19.4074580402662,38.9105802368402;20.6586732650840,27.7277163972329;15.2585759690516,21.3242907727704;18.3028671675093,15.9773144414554]
[20.1537044507834,28.8054701583184;18.3732660220892,16.4720659067072;13.7833056384796,2.47721014293639;15.6954430903180,21.9885633250131;19.4074580402662,39.6257892523406]
[13.2159311138659,2.47721014293639;16.1107080746067,22.6746210049782;19.4074580402662,40.1918351311717;19.6005998743018,29.8125561185250;18.3800434827182,16.9759375895681]
[12.5480616102618,2.47721014293639;19.4074580402662,40.5962127757054;19.0011332563709,30.7389875373992;16.5036523662966,23.3818441259500;18.3218262052483,17.4877079343110]
[11.7794518768313,2.47721014293639;18.3573993052241,31.5750481245901;16.8735740208605,24.1095925097826;18.1973679220818,18.0061278350007;19.4074580402662,40.8274045229904]
[18.0055523298453,18.5299228033420;17.2197882468929,24.8572059135824;19.4074580402662,40.8749847637091;17.6718063971345,32.3113487492969;10.9102061033538,2.47721014293639]
[17.7453957680645,19.0577951853585;9.94078035670689,2.47721014293639;17.5416279374958,25.6240044700803;19.4074580402662,40.7297179810106;16.9470676024696,32.9388829665683]
[8.87198403675970,2.47721014293639;17.8384441906865,26.4092891414365;16.1861900905783,33.4490810866334;17.4160496842133,19.5884264235195;19.4074580402662,40.3836494916439]
[15.3924629544505,33.8338625189529;19.4074580402662,39.8301882149743;18.1096068184976,27.2123421862093;7.70498034439926,2.47721014293639;17.0168028808260,20.1204793608625]
[16.5470835406806,20.6526005835900;6.44128575690421,2.47721014293639;14.5694435035499,34.0856861294089;18.3545048444487,28.0324276392109;19.4074580402662,39.0641808430939]
[19.4074580402662,38.0819768370498;5.08276850838856,2.47721014293639;16.0064610263885,21.1834227985543;13.7209420804921,34.1975983569685;18.5725469890719,28.8687918039690]
[15.3946474510547,21.7115672419900;19.4074580402662,36.8814837299142;12.8510054642952,34.1632788452372;18.7631621431827,29.7206637575012;3.63164607555698,2.47721014293639]
[14.7114990170127,22.2356461157956;18.9257998285949,30.5872558671050;11.9638989297231,33.9770833545152;19.4074580402662,35.4622122766794;2.09048167153686,2.47721014293639]
[13.9570171199788,22.7542650476230;11.0640870387617,33.6340837312548;0.462179753074464,2.47721014293639;19.0599306459829,31.4677643188575;19.4074580402662,33.8253110534274]
[19.4074580402662,31.9735901735322;10.1562132464643,33.1301047241384;19.1650467096050,32.3613696575112;13.1313492163148,23.2660255709884;-1.25001945110244,2.47721014293639]
[-3.04254638045155,2.47721014293639;19.2406620686072,33.2672373374680;12.2347894514415,23.7695276215827;9.24507840926927,32.4617574492982;19.4074580402662,29.9115338564059]
[-4.91150953852664,2.47721014293639;19.4074580402662,27.6453016541042;19.2863131146342,34.1845182845032;8.33561828938336,31.6264693214417;11.2677790477946,24.2633720459273]
